jump line 1
jump line 2
0.00000 0.00000 0.00000
0.00500 0.00000 0.00000
0.01000 0.00000 0.00000
0.01500 0.00000 0.00000
0.02000 0.00000 0.00000
0.02500 0.00000 0.00000
0.03000 0.00000 0.00000
0.03500 0.00000 0.00000
0.04000 0.00000 0.00000
0.04500 0.00000 0.00000
0.05000 0.00000 0.00000
0.05500 0.00000 0.00000
0.06000 0.00000 0.00000
0.06500 0.00000 0.00000
0.07000 0.00000 0.00000
0.07500 0.00000 0.00000
0.08000 0.00000 0.00000
0.08500 0.00000 0.00000
0.09000 0.00000 0.00000
0.09500 0.00000 0.00000
0.10000 0.00000 0.00000
0.10500 0.00000 0.00000
0.11000 0.00000 0.00000
0.11500 0.00000 0.00000
0.12000 0.00000 0.00000
0.12500 0.00000 0.00000
0.13000 0.00000 0.00000
0.13500 0.00000 0.00000
0.14000 0.00000 0.00000
0.14500 0.00000 0.00000
0.15000 0.00000 0.00000
0.15500 0.00000 0.00000
0.16000 0.00000 0.00000
0.16500 0.00000 0.00000
0.17000 0.00000 0.00000
0.17500 0.00000 0.00000
0.18000 0.00000 0.00000
0.18500 0.00000 0.00000
0.19000 0.00000 0.00000
0.19500 0.00000 0.00000
0.20000 0.00000 0.00000
0.20500 0.00000 0.00000
0.21000 0.00000 0.00000
0.21500 0.00000 0.00000
0.22000 0.00000 0.00000
0.22500 0.00000 0.00000
0.23000 0.00000 0.00000
0.23500 0.00000 0.00000
0.24000 0.00000 0.00000
0.24500 0.00000 0.00000
0.25000 0.00000 0.00000
0.25500 0.00000 0.00000
0.26000 0.00000 0.00000
0.26500 0.00000 0.00000
0.27000 0.00000 0.00000
0.27500 0.00000 0.00000
0.28000 0.00000 0.00000
0.28500 0.00000 0.00000
0.29000 0.00000 0.00000
0.29500 0.00000 0.00000
0.30000 0.00000 0.00000
0.30500 0.00000 0.00000
0.31000 0.00000 0.00000
0.31500 0.00000 0.00000
0.32000 0.00000 0.00000
0.32500 0.00000 0.00000
0.33000 0.00000 0.00000
0.33500 0.00000 0.00000
0.34000 0.00000 0.00000
0.34500 0.00000 0.00000
0.35000 0.00000 0.00000
0.35500 0.00000 0.00000
0.36000 0.00000 0.00000
0.36500 0.00000 0.00000
0.37000 0.00000 0.00000
0.37500 0.00000 0.00000
0.38000 0.00000 0.00000
0.38500 0.00000 0.00000
0.39000 0.00000 0.00000
0.39500 0.00000 0.00000
0.40000 0.00000 0.00000
0.40500 0.00000 0.00000
0.41000 0.00000 0.00000
0.41500 0.00000 0.00000
0.42000 0.00000 0.00000
0.42500 0.00000 0.00000
0.43000 0.00000 0.00000
0.43500 0.00000 0.00000
0.44000 0.00000 0.00000
0.44500 0.00000 0.00000
0.45000 0.00000 0.00000
0.45500 0.00000 0.00000
0.46000 0.00000 0.00000
0.46500 0.00000 0.00000
0.47000 0.00000 0.00000
0.47500 0.00000 0.00000
0.48000 0.00000 0.00000
0.48500 0.00000 0.00000
0.49000 0.00000 0.00000
0.49500 0.00000 0.00000
0.50000 0.00000 0.00000
0.50500 0.00000 0.00000
0.51000 0.00000 0.00000
0.51500 0.00000 0.00000
0.52000 0.00000 0.00000
0.52500 0.00000 0.00000
0.53000 0.00000 0.00000
0.53500 0.00000 0.00000
0.54000 0.00000 0.00000
0.54500 0.00000 0.00000
0.55000 0.00000 0.00000
0.55500 0.00000 0.00000
0.56000 0.00000 0.00000
0.56500 0.00000 0.00000
0.57000 0.00000 0.00000
0.57500 0.00000 0.00000
0.58000 0.00000 0.00000
0.58500 0.00000 0.00000
0.59000 0.00000 0.00000
0.59500 0.00000 0.00000
0.60000 0.00000 0.00000
0.60500 0.00000 0.00000
0.61000 0.00000 0.00000
0.61500 0.00000 0.00000
0.62000 0.00000 0.00000
0.62500 0.00000 0.00000
0.63000 0.00000 0.00000
0.63500 0.00000 0.00000
0.64000 0.00000 0.00000
0.64500 0.00000 0.00000
0.65000 0.00000 0.00000
0.65500 0.00000 0.00000
0.66000 0.00000 0.00000
0.66500 0.00000 0.00000
0.67000 0.00000 0.00000
0.67500 0.00000 0.00000
0.68000 0.00000 0.00000
0.68500 0.00000 0.00000
0.69000 0.00000 0.00000
0.69500 0.00000 0.00000
0.70000 0.00000 0.00000
0.70500 0.00000 0.00000
0.71000 0.00000 0.00000
0.71500 0.00000 0.00000
0.72000 0.00000 0.00000
0.72500 0.00000 0.00000
0.73000 0.00000 0.00000
0.73500 0.00000 0.00000
0.74000 0.00000 0.00000
0.74500 0.00000 0.00000
0.75000 0.00000 0.00000
0.75500 0.00000 0.00000
0.76000 0.00000 0.00000
0.76500 0.00000 0.00000
0.77000 0.00000 0.00000
0.77500 0.00000 0.00000
0.78000 0.00000 0.00000
0.78500 0.00000 0.00000
0.79000 0.00000 0.00000
0.79500 0.00000 0.00000
0.80000 0.00000 0.00000
0.80500 0.00000 0.00000
0.81000 0.00000 0.00000
0.81500 0.00000 0.00000
0.82000 0.00000 0.00000
0.82500 0.00000 0.00000
0.83000 0.00000 0.00000
0.83500 0.00000 0.00000
0.84000 0.00000 0.00000
0.84500 0.00000 0.00000
0.85000 0.00000 0.00000
0.85500 0.00000 0.00000
0.86000 0.00000 0.00000
0.86500 0.00000 0.00000
0.87000 0.00000 0.00000
0.87500 0.00000 0.00000
0.88000 0.00000 0.00000
0.88500 0.00000 0.00000
0.89000 0.00000 0.00000
0.89500 0.00000 0.00000
0.90000 0.00000 0.00000
0.90500 0.00000 0.00000
0.91000 0.00000 0.00000
0.91500 0.00000 0.00000
0.92000 0.00000 0.00000
0.92500 0.00000 0.00000
0.93000 0.00000 0.00000
0.93500 0.00000 0.00000
0.94000 0.00000 0.00000
0.94500 0.00000 0.00000
0.95000 0.00000 0.00000
0.95500 0.00000 0.00000
0.96000 0.00000 0.00000
0.96500 0.00000 0.00000
0.97000 0.00000 0.00000
0.97500 0.00000 0.00000
0.98000 0.00000 0.00000
0.98500 0.00000 0.00000
0.99000 0.00000 0.00000
0.99500 0.00000 0.00000
1.00000 0.00000 0.00000
1.00500 0.00000 0.00000
1.01000 0.00000 0.00000
1.01500 0.00000 0.00000
1.02000 0.00000 0.00000
1.02500 0.00000 0.00001
1.03000 0.00000 0.00002
1.03500 0.00000 0.00003
1.04000 0.00000 0.00006
1.04500 0.00000 0.00011
1.05000 0.00000 0.00021
1.05500 0.00000 0.00038
1.06000 0.00000 0.00069
1.06500 0.00001 0.00125
1.07000 0.00004 0.00221
1.07500 0.00015 0.00384
1.08000 0.00047 0.00660
1.08500 0.00135 0.01115
1.09000 0.00358 0.01855
1.09500 0.00880 0.03042
1.10000 0.02000 0.04913
1.10500 0.04206 0.07815
1.11000 0.08178 0.12239
1.11500 0.14706 0.18847
1.12000 0.24455 0.28429
1.12500 0.37606 0.41520
1.13000 0.53477 0.56997
1.13500 0.70322 0.69877
1.14000 0.85515 0.75019
1.14500 0.96164 0.75533
1.15000 1.00000 0.75456
1.15500 0.96164 0.74986
1.16000 0.85515 0.73573
1.16500 0.70322 0.70471
1.17000 0.53477 0.64766
1.17500 0.37606 0.55497
1.18000 0.24455 0.42055
1.18500 0.14706 0.25371
1.19000 0.08178 0.09908
1.19500 0.04206 0.01766
1.20000 0.02000 0.00096
1.20500 0.00000 0.00008
1.21000 0.00000 0.00007
1.21500 0.00000 0.00008
1.22000 0.00000 0.00010
1.22500 0.00000 0.00016
1.23000 0.00000 0.00031
1.23500 0.00000 0.00059
1.24000 0.00000 0.00114
1.24500 0.00000 0.00214
